Depth,Temperature,Salinity,Oxigen
m,°C,psu,ml/L
1,28.5271,33.4048,4.8065
2,28.2092,33.5896,4.8708
3,28.0936,33.7094,4.8761
4,27.7598,33.8101,4.8855
5,27.6035,33.8369,4.8755
6,26.9779,33.9409,4.919
7,26.6255,33.952,4.9135
8,26.3114,33.989,4.8682
9,26.1402,33.9833,4.7729
10,25.5468,34.0166,4.5993
11,24.5589,34.0779,4.3564
12,24.0906,34.1174,3.9188
13,23.2104,34.2043,3.4083
14,21.7572,34.3411,2.9637
15,20.4045,34.4695,2.7021
16,20.1148,34.4911,2.5386
17,19.9004,34.5122,2.4523
18,19.7371,34.5293,2.3959
19,19.6638,34.5421,2.3488
20,19.6372,34.5489,2.3069
21,19.6167,34.5559,2.268
22,19.5905,34.5642,2.2287
23,19.5491,34.5729,2.1918
24,19.476,34.583,2.1423
25,19.3865,34.5928,2.0697
26,19.095,34.6196,1.9768
27,18.9056,34.6411,1.8602
28,18.7945,34.6509,1.7805
29,18.4087,34.6807,1.7348
30,18.19,34.7031,1.6931
31,18.1675,34.7042,1.645
32,18.1099,34.7093,1.5933
33,17.9961,34.7191,1.5364
34,17.8896,34.7292,1.4683
35,17.7564,34.7415,1.412
36,17.5552,34.7589,1.3784
37,17.4337,34.7731,1.3581
38,17.4096,34.7765,1.333
39,17.3994,34.7792,1.2966
40,17.3652,34.7821,1.2626
41,17.2357,34.7907,1.2373
42,17.1928,34.7938,1.2156
43,17.1775,34.7953,1.1967
44,17.1661,34.7956,1.1825
45,17.1358,34.797,1.1703
46,17.1232,34.7985,1.1516
47,17.1146,34.7998,1.1295
48,17.0794,34.8014,1.1119
49,17.0542,34.8022,1.0984
50,17.0307,34.803,1.0866
51,17.0122,34.8043,1.0702
52,16.9892,34.8056,1.0406
53,16.9252,34.8078,1.0057
54,16.8811,34.8109,0.9833
55,16.8629,34.8115,0.9681
56,16.8378,34.8126,0.9577
57,16.8142,34.8137,0.9501
58,16.7995,34.8144,0.9426
59,16.7903,34.8148,0.9324
60,16.7738,34.8171,0.923
61,16.7464,34.8185,0.9203
62,16.7333,34.8184,0.9188
63,16.7215,34.8203,0.9192
