events,evnum,sum,date,cumsum,logcumsum,css_scaled,log_css_scaled
MV254,254.0,0.0,2010-08-27,40737.75,2863.8365782668575,0.0,0.0
MV257,257.0,0.0,2010-10-19,52382.0,3497.2116309474995,0.0,0.0
MV258,258.0,2.0,2010-10-24,52731.5,3313.290522298963,3.7927993703953044e-5,0.0006036295297800442
MV259,259.0,0.0,2010-11-02,72502.5,4731.186637568394,0.0,0.0
MV260,260.0,7.0,2010-11-16,59398.5,3735.3709682171675,0.00011784809380708267,0.0018739771925092054
MV260_tr2,260.0,3.0,2010-11-16,99517.75,7291.692281637038,3.0145376076127122e-5,0.0004114271261220143
MV261,261.0,0.0,2010-12-11,51314.75,3505.9611243121344,0.0,0.0
MV262,262.0,0.0,2011-01-06,61241.5,4235.6034994793035,0.0,0.0
MV263,263.0,0.0,2011-03-04,40684.5,2733.098131466079,0.0,0.0
MV263_tr3,263.0,0.0,2011-03-04,79208.5,5235.7754059716335,0.0,0.0
MV265,265.0,0.0,2011-03-23,70625.5,4628.040938410157,0.0,0.0
MV266,266.0,0.0,2011-05-03,44636.75,3004.1085573817377,0.0,0.0
MV267,267.0,0.0,2011-06-06,74037.25,4760.547008879278,0.0,0.0
MV270,270.0,2.0,2011-07-06,39362.5,3011.4434706466423,5.080978088281994e-5,0.0006641333365525681
MV271,271.0,22.0,2011-07-27,39195.5,2570.1965729624626,0.000561288923473358,0.008559656577022954
MV272,272.0,17.0,2011-08-06,59268.25,3763.4644175574704,0.0002868314822860469,0.004517114582162886
MV273,273.0,1.0,2011-08-20,41927.5,2843.671478534738,2.3850694651481726e-5,0.00035165806161099563
MV274,274.0,0.0,2011-09-12,32767.25,2351.6232240819354,0.0,0.0
MV275,275.0,1.0,2011-09-17,45941.75,3099.6101639771236,2.176669369364467e-5,0.0003226212159263588
MV276,276.0,1.0,2011-09-21,41496.5,2850.7848803314164,2.4098417938862313e-5,0.000350780589198209
MV278,278.0,2.0,2011-09-27,57961.25,3896.1740687703373,3.4505812072721e-5,0.0005133240878612016
MV279,279.0,2.0,2011-10-06,44526.25,3031.8835585513157,4.4917324050419694e-5,0.0006596559404001759
MV280,280.0,0.0,2011-10-11,67453.75,4625.084325488217,0.0,0.0
MV281,281.0,0.0,2011-10-24,65101.0,4379.6452637506445,0.0,0.0
MV282,282.0,0.0,2011-10-31,55365.0,3770.385653017465,0.0,0.0
MV286,286.0,1.0,2011-11-22,109310.5,6973.5082341535635,9.14825199774953e-6,0.00014339984501665664
MV287,287.0,9.0,2011-12-12,59838.0,3901.433270236266,0.00015040609646044319,0.0023068445303576785
MV288,288.0,0.0,2012-01-09,47569.75,2886.032239391611,0.0,0.0
MV289,289.0,0.0,2012-02-08,57779.5,3861.950359571146,0.0,0.0
MV290,290.0,0.0,2012-02-15,36206.25,2431.95977171783,0.0,0.0
MV294,294.0,0.0,2012-03-06,41807.25,2953.726884538705,0.0,0.0
MV294_tr,294.0,0.0,2012-03-06,51604.25,3642.2301876471997,0.0,0.0
MV294_tr2,294.0,0.0,2012-03-06,84959.25,6465.901014589375,0.0,0.0
MV295,295.0,1.0,2012-04-20,66147.0,4333.216810108897,1.511784359079021e-5,0.00023077543631491384
MV296,296.0,0.0,2012-06-15,41164.75,2655.990631307215,0.0,0.0
MV300,300.0,20.0,2012-07-10,42917.25,2913.3164497532416,0.00046601308331731413,0.00686502834310842
MV302,302.0,8.0,2012-08-20,49214.0,3293.6758501296918,0.00016255537042305035,0.0024288971847927876
MV302_tr,302.0,12.0,2012-08-20,69874.25,4756.943974900567,0.00017173708483454205,0.002522627986227404
MV302_tr2,302.0,7.0,2012-08-20,69366.75,5578.085441735171,0.00010091290135403489,0.0012549108602077123
MV303,303.0,0.0,2012-09-14,38419.0,2736.107634046288,0.0,0.0
