Sta.,Depth,percent_E0,OD,Temp,T‐offset,Sal,DIC,"nitrite,nitrate",ammonium,Si(OH)4,phosphate,chl_a,,
,m,,,degC,degC,psu,,umol L^-1,,,,μg L−1,percent > 5 μm,
K1,7,48,0.7,6.5,1.5,33.3,2037,0.21,0.03,0.11,0.01,0.57,14,ML
LS2,7,57,0.6,4.5,0.5,33.8,2071,0.13,0,0.03,0.14,0.88,29,ML
HB1,7,,,2.8,0.2,16.3,,,,,,0.36,,ML
HB2,7,,,1,0,14.9,,,,,,0.09,,ML
BB1.5,7,,,2.5,0.5,29.9,,,,,,0.41,,ML
BB3,5,59,0.5,3.9,2.9,30.8,2024,0.21,0,0.55,4.07,0.18,44,ML
BB2,6,60,0.5,5.3,3.3,30.9,2008,0.05,0.06,0.52,4.51,0.15,25,ML
CAA1,5,49,0.7,3.1,1.1,32.3,2013,0.06,0,0.38,1.22,0.69,42,ML
CAA5,7,63,0.5,0.4,0.6,27.9,2012,0.09,,0.48,1.58,0.35,54,ML
CAA6,5,53,0.6,0.1,0.1,29.6,1872,0.05,,0.41,1.88,0.37,90,ML
CAA7,5,58,0.5,−0.3,0.7,30,2014,0.04,,0.56,3.53,0.35,58,ML
VS,8,37,1,0.1,0.1,25.4,1822,,,,,0.2,61,ML
K1,39,2.4,3.7,4.6,0.4,34.6,2066,1.92,,0.28,1,4.69,75,sub_ML
LS2,39,4.7,3,3.7,0.3,33.9,2072,2.22,0.34,0.27,1.13,1.24,41,sub_ML
HB1,,,,,,,,,,,,,,sub_ML
HB2,,,,,,,,,,,,,,sub_ML
BB1.5,,,,,,,,,,,,,,sub_ML
BB3,28,7.6,2.6,−1.2,0.2,32.5,2081,1.08,0,0.73,5.92,5.1,81,sub_ML
BB2,33,8,2.9,−1.4,3.4,32.8,2107,3.9,0.93,0.84,8.85,1.7,63,sub_ML
CAA1,36,0.7,5,0.9,1.1,32.5,2057,2.08,0.25,0.63,4.09,2.07,93,sub_ML
CAA5,20,3.6,3.3,−1.4,2.4,31.9,2112,4.32,,0.82,8.83,0.61,64,sub_ML
CAA6,24,4.8,3,−1.1,1.1,31.4,2030,0.42,,,1.76,3.07,86,sub_ML
CAA7,36,3.7,3.3,−1.3,0.3,31.9,2130,6.57,,1.18,15.08,0.34,60,sub_ML
VS,40,0.8,4.9,−1.2,1.2,29.3,1993,,,,,4.8,85,sub_ML
