Sta.,depth,Diatom,Dino,Chloro,Pras3,Pras2,Crypto,Chrys,c3‐flag,Hap‐7,
K1,7,37,14,0,11,6,4,9,1,16,ML
LS2,7,39,19,0,17,6,1,3,7,8,ML
HB1,7,77,0,0,7,5,3,0,8,0,ML
HB2,7,58,7,24,5,1,4,0,0,0,ML
BB1.5,7,25,10,0,16,10,3,0,32,3,ML
BB3,5,48,15,4,7,7,8,1,5,5,ML
BB2,6,44,16,11,9,5,4,2,1,8,ML
CAA1,5,47,4,0,24,15,2,2,4,2,ML
CAA5,7,50,19,1,7,3,3,2,14,1,ML
CAA6,5,52,16,1,7,1,3,2,17,1,ML
CAA7,5,46,11,4,11,6,8,8,0,5,ML
VS,8,67,8,0,9,2,3,3,6,3,ML
K1,39,83,6,0,0,1,1,3,6,0,sub_ML
LS2,39,35,5,0,28,14,2,1,12,3,sub_ML
HB1,,,,,,,,,,,sub_ML
HB2,,,,,,,,,,,sub_ML
BB1.5,,,,,,,,,,,sub_ML
BB3,28,42,2,1,15,2,11,2,3,24,sub_ML
BB2,33,36,3,1,22,8,3,3,3,21,sub_ML
CAA1,36,49,3,1,24,7,2,1,11,2,sub_ML
CAA5,20,60,4,2,17,2,3,3,9,2,sub_ML
CAA6,24,84,5,0,1,1,1,2,3,1,sub_ML
CAA7,36,64,4,1,13,0,2,3,9,3,sub_ML
VS,40,87,0,2,0,0,2,0,0,8,sub_ML
