	ETR_rcii			14C_uptake			Conversion factor			
Sta.	depth	prcii	a_rcii	E_k	Pchl_a_max	a_chl_a	E_k	CF_P_max	CF_alpha	
K1	7	259?_?19	2.1?_?0.1	124?_?11	8.0_0.3	0.08?_?0.02	72?_?8	1573?_?126	1334?_?294	ML
LS2	7	296?_?13	2.9?_?0.1	102?_?6	7.0_0.4	0.09?_?0.01	75?_?13	2043?_?139	1505?_?246	ML
HB1	7	419?_?35	2.7?_?0.2	155?_?16	4.1_0.4	0.07?_?0.02	61?_?22	4914?_?661	1966?_?699	ML
HB2	7	446?_?78	2.5?_?0.3	178?_?36	3.2_0.4	0.04?_?0.02	80?_?34	6708?_?1457	3021?_?1259	ML
BB1.5	7	404?_?35	2.2?_?0.1	181?_?18	1.8_0.1	0.02?_?0.01	83?_?22	"11,073?_?1333"	5062?_?1282	ML
BB3	5	312?_?29	2.1?_?0.1	147?_?17	7.6?_?0.9	0.08?_?0.02	66?_?26	1991?_?299	1256?_?343	ML
BB2	6	380?_?51	2.1?_?0.2	184?_?29						ML
CAA1	5	364?_?18	2.1?_?0.1	177?_?10	4.3_0.3	0.05?_?0.01	92?_?17	4099?_?325	2139?_?377	ML
CAA5	7									ML
CAA6	5	348?_?17	2.3?_?0.1	148?_?9	3.4?_?0.4	0.04?_?0.01	92?_?29	4903?_?559	3021?_?917	ML
CAA7	5	289?_?39	2.3?_?0.2	124?_?21	3.9?_?0.6	0.05?_?0.02	84?_?42	3550?_?735	2413?_?1168	ML
VS	8				4.0?_?0.8	0.05?_?0.03	74?_?42			ML
K1	39	223?_?84	2.3?_?0.8	98?_?50	0.7?_?0.03	0.01?_?0.00	50?_?7	"14,750?_?563"	7747?_?2813	sub_ML
LS2	39	242?_?11	3.5?_?0.3	53?_?5	4.1?_?0.25	0.07?_?0.02	45?_?13	2834?_?216	2355?_?562	sub_ML
HB1										sub_ML
HB2										sub_ML
BB1.5										sub_ML
BB3	28	174?_?20	3.6?_?0.7	48?_?11	1.8?_?0.09	0.08?_?0.01	29?_?5	4713?_?579	2141?_?528	sub_ML
BB2	33	222?_?21	4.5?_?0.8	49?_?10	1.2?_?0.04	0.03?_?0.00	39?_?4	9051?_?912	7173?_?1419	sub_ML
CAA1	36				1.3?_?0.09	0.03?_?0.01	36?_?9			sub_ML
CAA5	20	371?_?26	3.9?_?0.3	95?_?9	1.6?_?0.13	0.04?_?0.01	46?_?13	"11,158?_?1176"	5417?_?1496	sub_ML
CAA6	24	184?_?17	3.6?_?0.5	52?_?9	2.0?_?0.19	0.05?_?0.02	38?_?11	4357?_?558	3206?_?1032	sub_ML
CAA7	36	173?_?9	4.8?_?1.2	40?_?6	1.4?_?0.28	0.04?_?0.03	30?_?19	6094?_?1244	5555?_?3546	sub_ML
VS	40	117?_?23	3.3?_?1.7	36?_?20	1.0?_?0.2	0.03?_?0.02	36?_?23	5434?_?1486	5352?_?4377	sub_ML
